Warehouse,Algorithm,Steps,Method
warehouse_01.txt,Astar,33,elem
warehouse_01.txt,Breadth,33,elem
warehouse_01.txt,Depth,37,elem
warehouse_03.txt,Astar,41,elem
warehouse_03.txt,Breadth,41,elem
warehouse_03.txt,Depth,59,elem
warehouse_05.txt,Astar,-1,elem
warehouse_05.txt,Breadth,-1,elem
warehouse_05.txt,Depth,-1,elem
warehouse_07.txt,Astar,-1,elem
warehouse_07.txt,Breadth,-1,elem
warehouse_07.txt,Depth,-1,elem
warehouse_09.txt,Astar,30,elem
warehouse_09.txt,Breadth,30,elem
warehouse_09.txt,Depth,30,elem
warehouse_103.txt,Astar,35,elem
warehouse_103.txt,Breadth,35,elem
warehouse_103.txt,Depth,477,elem
warehouse_105.txt,Astar,-1,elem
warehouse_105.txt,Breadth,-1,elem
warehouse_105.txt,Depth,-1,elem
warehouse_107.txt,Astar,-1,elem
warehouse_107.txt,Breadth,-1,elem
warehouse_107.txt,Depth,-1,elem
warehouse_109.txt,Astar,-1,elem
warehouse_109.txt,Breadth,-1,elem
warehouse_109.txt,Depth,-1,elem
warehouse_11.txt,Astar,78,elem
warehouse_11.txt,Breadth,78,elem
warehouse_11.txt,Depth,238,elem
warehouse_111.txt,Astar,-1,elem
warehouse_111.txt,Breadth,-1,elem
warehouse_111.txt,Depth,-1,elem
warehouse_113.txt,Astar,-1,elem
warehouse_113.txt,Breadth,-1,elem
warehouse_113.txt,Depth,-1,elem
warehouse_115.txt,Astar,-1,elem
warehouse_115.txt,Breadth,-1,elem
warehouse_115.txt,Depth,505,elem
warehouse_117.txt,Astar,-1,elem
warehouse_117.txt,Breadth,-1,elem
warehouse_117.txt,Depth,-1,elem
warehouse_119.txt,Astar,-1,elem
warehouse_119.txt,Breadth,131,elem
warehouse_119.txt,Depth,481,elem
warehouse_121.txt,Astar,-1,elem
warehouse_121.txt,Breadth,-1,elem
warehouse_121.txt,Depth,-1,elem
warehouse_123.txt,Astar,-1,elem
warehouse_123.txt,Breadth,-1,elem
warehouse_123.txt,Depth,-1,elem
warehouse_125.txt,Astar,-1,elem
warehouse_125.txt,Breadth,-1,elem
warehouse_125.txt,Depth,-1,elem
warehouse_127.txt,Astar,-1,elem
warehouse_127.txt,Breadth,106,elem
warehouse_127.txt,Depth,552,elem
warehouse_129.txt,Astar,-1,elem
warehouse_129.txt,Breadth,-1,elem
warehouse_129.txt,Depth,-1,elem
warehouse_13.txt,Astar,52,elem
warehouse_13.txt,Breadth,52,elem
warehouse_13.txt,Depth,313,elem
warehouse_131.txt,Astar,-1,elem
warehouse_131.txt,Breadth,-1,elem
warehouse_131.txt,Depth,1502,elem
warehouse_133.txt,Astar,-1,elem
warehouse_133.txt,Breadth,-1,elem
warehouse_133.txt,Depth,-1,elem
warehouse_135.txt,Astar,-1,elem
warehouse_135.txt,Breadth,-1,elem
warehouse_135.txt,Depth,493,elem
warehouse_137.txt,Astar,-1,elem
warehouse_137.txt,Breadth,-1,elem
warehouse_137.txt,Depth,-1,elem
warehouse_139.txt,Astar,-1,elem
warehouse_139.txt,Breadth,-1,elem
warehouse_139.txt,Depth,-1,elem
warehouse_141.txt,Astar,-1,elem
warehouse_141.txt,Breadth,-1,elem
warehouse_141.txt,Depth,-1,elem
warehouse_143.txt,Astar,-1,elem
warehouse_143.txt,Breadth,-1,elem
warehouse_143.txt,Depth,-1,elem
warehouse_145.txt,Astar,-1,elem
warehouse_145.txt,Breadth,-1,elem
warehouse_145.txt,Depth,-1,elem
